"","player","time","time_ms","advancement","ranked_event","n_advancements"
"112","maskers_",00:09:32.954,572954,"Ol' Betsy",NA,16
"113","maskers_",00:09:35.552,575552,"Take Aim",NA,17
"114","7rowl",00:09:35.669,575669,"Ol' Betsy",NA,17
"115","7rowl",00:09:37.629,577629,"Not Today, Thank You",NA,18
"116","7rowl",00:09:37.666,577666,"Take Aim",NA,19
"117","maskers_",00:09:39.604,579604,"Not Today, Thank You",NA,18
"118","maskers_",00:09:46.848,586848,"Suit Up",NA,19
"119","iinterp",00:10:00.780,600780,"Into Fire",NA,20
"120","infume",00:10:04.800,604800,NA,"blind_travel",24
"121","7rowl",00:10:05.440,605440,NA,"blind_travel",19
"122","maskers_",00:10:07.004,607004,"Monster Hunter",NA,20
"123","jakkeboy3651",00:10:12.639,612639,"Monster Hunter",NA,18
"124","infume",00:10:19.544,619544,"Local Brewery",NA,25
"125","iinterp",00:10:25.238,625238,"Ol' Betsy",NA,21
"126","iinterp",00:10:26.228,626228,"Take Aim",NA,22
"127","iinterp",00:10:31.029,631029,"Not Today, Thank You",NA,23
"128","iinterp",00:10:33.429,633429,NA,"death",23
"129","7rowl",00:10:36.634,636634,"Tactical Fishing",NA,20
"130","maskers_",00:10:45.226,645226,"Sweet Dreams",NA,21
"131","jakkeboy3651",00:10:47.438,647438,"Ol' Betsy",NA,19
"132","jakkeboy3651",00:10:49.432,649432,"Take Aim",NA,20
"133","7rowl",00:10:52.933,652933,"Fishy Business",NA,21
"134","jakkeboy3651",00:10:54.042,654042,"Into Fire",NA,21
"135","iinterp",00:11:05.412,665412,"Sweet Dreams",NA,24
"136","maskers_",00:11:06.453,666453,"The Parrots and the Bats",NA,22
"137","jakkeboy3651",00:11:08.034,668034,"Not Today, Thank You",NA,22
"138","jakkeboy3651",00:11:18.336,678336,"Fishy Business",NA,23
"139","infume",00:11:22.949,682949,"Not Quite ""Nine"" Lives",NA,26
"140","jakkeboy3651",00:11:24.691,684691,"Local Brewery",NA,24
"141","maskers_",00:11:24.702,684702,"Bullseye",NA,23
"142","maskers_",00:11:40.409,700409,"Into Fire",NA,24
"143","ANTOlNE",00:12:00.000,720000,NA,"eliminate",20
"144","maskers_",00:12:36.709,756709,NA,"blind_travel",24
"145","infume",00:12:37.290,757290,"Eye Spy",NA,27
"146","7rowl",00:12:59.880,779880,"Eye Spy",NA,22
"147","jakkeboy3651",00:13:12.560,792560,NA,"blind_travel",24
"148","iinterp",00:13:26.776,806776,"Suit Up",NA,25
"149","maskers_",00:13:39.342,819342,"Tactical Fishing",NA,25
"150","7rowl",00:13:58.130,838130,"Suit Up",NA,23
"151","maskers_",00:14:23.898,863898,"Fishy Business",NA,26
"152","infume",00:14:27.515,867515,"The End?",NA,28
"153","jakkeboy3651",00:14:51.724,891724,"Eye Spy",NA,25
"154","infume",00:14:54.405,894405,"Free the End",NA,29
"155","infume",00:15:08.052,908052,NA,"dragon_death",29
"156","7rowl",00:15:08.875,908875,"Sweet Dreams",NA,24
"157","7rowl",00:15:22.885,922885,"The End?",NA,25
"158","iinterp",00:15:28.297,928297,NA,"blind_travel",25
"159","infume",00:15:32.739,932739,"Remote Getaway",NA,30
"160","7rowl",00:15:50.294,950294,"Free the End",NA,26
"161","7rowl",00:16:03.632,963632,NA,"dragon_death",26
