"","player","time","time_ms","advancement","ranked_event","n_advancements"
"81","joshteautwins",00:05:42.523,342523,"Oh Shiny",NA,12
"82","Feinberg",00:05:46.571,346571,"Monster Hunter",NA,14
"83","okrzej1",00:05:48.579,348579,"Who is Cutting Onions?",NA,13
"84","okrzej1",00:05:48.607,348607,"Ice Bucket Challenge",NA,14
"85","Feinberg",00:05:49.172,349172,"War Pigs",NA,15
"86","AutomattPLUS",00:05:51.140,351140,"Hot Stuff",NA,18
"87","Feinberg",00:05:51.823,351823,"Ice Bucket Challenge",NA,16
"88","okrzej1",00:05:52.079,352079,"War Pigs",NA,15
"89","fudge1",00:05:55.380,355380,"Those Were the Days",NA,13
"90","okrzej1",00:06:04.428,364428,"Monster Hunter",NA,16
"91","AutomattPLUS",00:06:10.106,370106,"We Need to Go Deeper",NA,19
"92","AutomattPLUS",00:06:26.145,386145,"Oh Shiny",NA,20
"93","joshteautwins",00:06:26.621,386621,"Ice Bucket Challenge",NA,13
"94","fudge1",00:06:39.026,399026,"Oh Shiny",NA,14
"95","danterustv",00:06:46.672,406672,"Ice Bucket Challenge",NA,14
"96","danterustv",00:06:55.278,415278,"Who is Cutting Onions?",NA,15
"97","danterustv",00:06:56.576,416576,"War Pigs",NA,16
"98","joshteautwins",00:07:00.822,420822,"Who is Cutting Onions?",NA,14
"99","joshteautwins",00:07:03.954,423954,"War Pigs",NA,15
"100","okrzej1",00:07:14.077,434077,"Cover Me With Diamonds",NA,17
"101","joshteautwins",00:07:16.100,436100,"Fishy Business",NA,16
"102","AutomattPLUS",00:07:25.897,445897,"Those Were the Days",NA,21
"103","fudge1",00:07:43.086,463086,"Ice Bucket Challenge",NA,15
"104","fudge1",00:07:43.100,463100,"Suit Up",NA,16
"105","danterustv",00:07:48.196,468196,"Not Quite ""Nine"" Lives",NA,17
"106","fudge1",00:07:49.480,469480,"Who is Cutting Onions?",NA,17
"107","okrzej1",00:07:55.533,475533,"A Terrible Fortress",NA,18
"108","Feinberg",00:07:56.648,476648,"A Terrible Fortress",NA,17
"109","fudge1",00:08:02.651,482651,"War Pigs",NA,18
"110","Feinberg",00:08:10.050,490050,"Into Fire",NA,18
"111","okrzej1",00:08:13.733,493733,"Into Fire",NA,19
"112","okrzej1",00:08:29.628,509628,"Suit Up",NA,20
"113","joshteautwins",00:08:40.274,520274,"A Terrible Fortress",NA,17
"114","okrzej1",00:08:45.432,525432,"Not Today, Thank You",NA,21
"115","okrzej1",00:08:45.460,525460,"Take Aim",NA,22
"116","joshteautwins",00:08:50.302,530302,"Monster Hunter",NA,18
"117","joshteautwins",00:08:51.879,531879,"Into Fire",NA,19
"118","fudge1",00:08:52.100,532100,"Ol' Betsy",NA,19
"119","danterustv",00:08:52.654,532654,"A Terrible Fortress",NA,18
"120","fudge1",00:08:53.278,533278,"Not Today, Thank You",NA,20
"121","fudge1",00:08:53.291,533291,"Take Aim",NA,21
