"","player","time","time_ms","advancement","ranked_event","n_advancements"
"115","hackingnoises",00:07:41.914,461914,"Not Quite ""Nine"" Lives",NA,22
"116","hackingnoises",00:07:54.065,474065,"Ol' Betsy",NA,23
"117","hackingnoises",00:07:55.369,475369,"Take Aim",NA,24
"118","dbowzer",00:08:00.760,480760,"Ol' Betsy",NA,20
"119","4antoo",00:08:17.777,497777,"Take Aim",NA,17
"120","drx6",00:08:23.402,503402,"Who is Cutting Onions?",NA,18
"121","hackingnoises",00:08:38.229,518229,"A Terrible Fortress",NA,25
"122","NOHACKSJUSTTIGER",00:08:42.685,522684,"Hidden in the Depths",NA,21
"123","Oxidiot",00:08:48.556,528556,"The Parrots and the Bats",NA,22
"124","Oxidiot",00:08:51.310,531310,"A Terrible Fortress",NA,23
"125","hackingnoises",00:08:56.579,536579,"Into Fire",NA,26
"126","Oxidiot",00:09:02.144,542144,"Monster Hunter",NA,24
"127","Oxidiot",00:09:10.657,550657,"Into Fire",NA,25
"128","4antoo",00:09:14.478,554478,NA,"death",17
"129","hackingnoises",00:09:43.378,583378,"Not Today, Thank You",NA,27
"130","Oxidiot",00:09:52.789,592789,"Not Quite ""Nine"" Lives",NA,26
"131","NOHACKSJUSTTIGER",00:09:55.390,595390,"A Terrible Fortress",NA,22
"132","hackingnoises",00:09:56.428,596428,NA,"blind_travel",27
"133","dbowzer",00:10:03.588,603588,"A Terrible Fortress",NA,21
"134","drx6",00:10:13.182,613182,"This Boat Has Legs",NA,19
"135","dbowzer",00:10:16.082,616082,"Take Aim",NA,22
"136","Oxidiot",00:10:17.697,617697,NA,"blind_travel",26
"137","drx6",00:10:28.044,628044,"A Terrible Fortress",NA,20
